HS_CODE2,HS_code,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),,General_Tariff_Rate
,,,8,"AS R , AU , KR R , NZ ,",,,
,,,,NI,,,
,,,8.1,JP,,,
"""39.24""",39.24,39.24,,,,,
"""3924.1000""",3924.1000 - 6.5,6.5,0,"AS,CL,NZ,SG,PE,",0,"LD,",80
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,AP,
,,,2,PK,,,
,,,2.6,KR,,,
,,,7.3,"AS R , KR",,,
,,,7.5,JP,,,
,,,8,"AU , NZ",,,
"""3924.9000""",3924.9000 - 6.5,6.5,0,"AS,CL,PK,NZ,SG,",0,LD,80
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"MU,KH,NI,EC,MV,HK,MO",,,
,,,6,"AS R , AU ,RKR ,RNZ",,,
,,,6.4,JP,,,
"""39.25""",39.25,39.25,,,,,
"""3925.1000""","3925.1000 -, 6.5",6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
,300,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,,"RAU , NZ ,KH,NI,EC,RS,",,,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""3925.2000""",3925.2000 - 6.5,6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
,,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,,"RAU ,RNZ ,KH,NI,EC,RS,",,,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,4.2,AP,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""3925.3000""",3925.3000 -( 6.5,6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
""")""",),,,"IS,  KR,  AU,GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,NI,EC,RS,",,,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""3925.9000""",3925.9000 - 6.5,6.5,0,"AS,CL,NZ,PE,CR,IS,",0,LD,80
,,,,"KR,AU,GE,MU,KH,NI,EC,",,,
,,,,"RS,MV,HK,MO",,,
,,,2,PK,,,
,,,4,CH,,,
,,,6,"AS R , AU R , KR R , NZ",,,
,,,6.4,JP,,,
"""39.26""",39.26 39.01,39.01,,,,,
"""3926.1000""",3926.1000 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,RJP,,,
,,,8,NI,,,
,,,8.7,EC,,,
"""3926.2011""",3926.2011  6.5,6.5,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,6,KR,,,
,,,6.4,JP,,,
"""3926.2019""",3926.2019  6.5,6.5,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,6,KR,,,
,,,6.4,JP,,,
"""3926.2090""",3926.2090 - 6.5,6.5,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,6,KR,,,
,,,6.4,JP,,,
"""3926.3000""",3926.3000 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,2.6,KR,,,
,,,6,RS,,,
,,,7.3,"AS , KR",,,
,,,7.5,JP,,,
,,,8,"AU ,RNZ ,NI",,,
,,,8.8,EC,,,
"""3926.4000""",3926.4000 - 6.5,6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,100
,,,,"IS, RKR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU , NZ ,KH,NI,EC,RS,",,,
,,,,"MV,HK,MO",,,
,,,4,PK,,,
,,,4.2,AP,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""3926.9010""",3926.9010 - 10,10,0,"AS,CL,PK,NZ,SG,",0,LD,35
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS R , AU R , NZ ,KH,",,,
,,,,"MV,HK,MO",,,
,,,6,KR,,,
,,,6.5,AP,,,
,,,7.5,JP,,,
,,,8,NI,,,
,,,8.7,"EC,RS",,,
"""3926.9090""",3926.9090 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , NZ ,KH,MV,",,,
,,,,"HK,MO,TW",,,
,,,6,KR,,,
,,,6.5,AP,,,
,,,7.5,JP,,,
,,,8,NI,,,
,,,8.7,"EC,RS",,,
,,,9.2,PK,,,
"""40.01""",40.01,40.01,,,,,
,,,",",,,,
"""4001.1000""","4001.1000 -, 20?1",20?1,0,"CL,NZ,CR,CH,IS,AU,",0,LD,40
,,,,"HK,MO",,,
,,,5.3,KR,,,
"""4001.2100""",4001.2100  20?2,20?2,0,"CL,NZ,CR,CH,IS,AU,",0,LD,40
,,,,"HK,MO",,,
,,,5.3,KR,,,
,,,17,"AP,PK",,,
"""4001.2200TSNR)""",4001.2200TSNR) 20?3,20?3,0,"CL,NZ,CR,CH,IS,AU,",0,LD,40
,,,,"HK,MO",,,
"""4001.2900""",4001.2900  20,20,0,"CL,NZ,CR,CH,IS,AU,",0,LD,40
,,,,"HK,MO",,,
,,,17,"AP,PK",,,
"""4001.3000""",4001.3000 - 20,20,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,AU,GE,KH,HK,",,,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"RAS , AU R , KR R , NZ",,,
,,,15,JP,,,
"""40.02""","40.02 ,",,,,,,
"""4002.1110""",4002.1110 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU ,RKR , NZ",,,
,,,5.6,JP,,,
"""4002.1190""",4002.1190 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS ,RAU R , KR , NZ ,",,,
,,,,EC,,,
,,,5.6,JP,,,
"""4002.1911""",4002.1911 7.5,7.5,0,"AS,CL,PK,NZ,SG,",0,LD,14
""")""",),,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS , AU R , KR R , NZ",,,
,,,5.6,JP,,,
"""4002.1912""",4002.1912  7.5,7.5,0,"AS,CL,PK,NZ,SG,",0,LD,14
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ",,,
,,,5.6,JP,,,
"""4002.1913""",4002.1913  7.5,7.5,0,"AS,CL,PK,NZ,SG,",0,LD,14
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ ,",,,
,,,EC,,,,
,,,5.6,JP,,,
"""4002.1914""",4002.1914  7.5,7.5,0,"AS,CL,PK,NZ,SG,",0,LD,14
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU , KR R , NZ",,,
,,,5.6,JP,,,
"""4002.1915""",4002.1915  7.5,7.5,0,"AS,CL,PK,NZ,SG,",0,LD,14
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ",,,
,,,5.6,JP,,,
"""4002.1916""",4002.1916  7.5,7.5,0,"AS,CL,PK,NZ,SG,",0,LD,14
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ",,,
,,,5.6,JP,,,
"""4002.1919""",4002.1919  7.5,7.5,0,"CL,NZ,PE,CR,CH,IS,",0,LD,14
,,,,"AU,GE,MU,KH,NI,RS,MV,",,,
,,,,"HK,MO",,,
,,,2,KR,,,
,,,5,AS,,,
,,,6,"AS ,EC",,,
,,,6.8,"AU , NZ",,,
"""4002.1990""",4002.1990 - 7.5,7.5,0,"AS,CL,PK,NZ,SG,",0,LD,35
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU , KR R , NZ",,,
,,,4.9,AP,,,
,,,5.6,RJP,,,
"""4002.2010""",4002.2010 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ",,,
,,,5.6,JP,,,
"""4002.2090""",4002.2090 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR ,RNZ",,,
,,,5.6,JP,,,
,,,7,AP,,,
"""4002.3110""",4002.3110 - 6,6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.6,KR,,,
,,,3.6,"AS R , AU R , KR R , NZ",,,
,,,3.9,AP,,,
,,,4.5,JP,,,
"""4002.3190""",4002.3190 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ",,,
,,,4.9,AP,,,
,,,5.6,JP,,,
"""4002.3910""",4002.3910 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"RAS , AU R , KR R , NZ",,,
,,,5.6,JP,,,
,,,6,EC,,,
"""4002.3990""",4002.3990 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ ,",,,
,,,,EC,,,
,,,4.9,AP,,,
,,,5.6,JP,,,
"""-(CR""",-(CR,,,,,,
"""4002.4100""",4002.4100  7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , KR R , NZ ,KH,",,,
,,,,"NI,RS,MV,HK,MO",,,
,,,4.8,JP,,,
,,,4.9,AP,,,
,,,6,EC,,,
"""4002.4910""",4002.4910 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,5,"AS R , AU ,RNZ",,,
,,,6,EC,,,
"""4002.4990""",4002.4990 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU , KR ,RNZ",,,
,,,4.9,AP,,,
,,,5.6,RJP,,,
,,,6,"EC,RS",,,
"""-(NBR""",-(NBR,,,,,,
"""4002.5100""",4002.5100  7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU , KR R , NZ",,,
,,,4.9,AP,,,
,,,5.6,JP,,,
"""4002.5910""",4002.5910 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR , NZ",,,
,,,5.6,JP,,,
"""4002.5990""",4002.5990 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ",,,
,,,5.6,JP,,,
"""-(IR""",-(IR,,,,,,
"""4002.6010""",4002.6010 - 3,3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,0.8,KR,,,
,,,1.8,"RAS R , AU R , KR ,RNZ",,,
,,,2.3,JP,,,
"""4002.6090""",4002.6090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.3,KR,,,
,,,3,"RAS , AU ,RKR ,RNZ",,,
,,,3.3,AP,,,
,,,3.8,JP,,,
"""-(EPDM""",-(EPDM,,,,,,
"""4002.7010""",4002.7010 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU , KR R , NZ ,",,,
,,,,EC,,,
,,,5.6,JP,,,
"""4002.7090""",4002.7090 - 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ",,,
,,,5.6,JP,,,
,,,7.1,AP,,,
"""4002.8000""",4002.8000 -40.01 7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS , AU R , KR R , NZ",,,
,,,5.6,JP,,,
"""4002.9100""",4002.9100  7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ",,,
,,,5.6,JP,,,
,,,6,EC,,,
"""4002.9911""",4002.9911  7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO,TW",,,
,,,2,KR,,,
,,,4.5,"RAS , AU R , KR ,RNZ",,,
,,,5.6,JP,,,
"""4002.9919""",4002.9919  7.5,7.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,2,KR,,,
,,,4.5,"AS R , AU R , KR R , NZ ,",,,
,,,,EC,,,
,,,5.6,JP,,,
"""4002.9990""",4002.9990 - 4,4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""40.03""","40.03 ,",,,,,,
"""4003.0000""","4003.0000 , 8",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2.1,KR,,,
,,,5.9,"AS R , KR",,,
,,,6,JP,,,
,,,6.4,"AU R , NZ",,,
"""40.04""",40.04,40.04,,,,,
"""4004.0000""",4004.0000  8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,,"RS,MV,HK,MO",,,
,,,5.1,JP,,,
,,,5.2,AP,,,
,,,6.4,NI,,,
,,,7.1,EC,,,
"""40.05""","40.05 ,",,,,,,
"""4005.1000""",4005.1000 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,2.1,KR,,,
,,,4.8,"AS R , AU R , KR , NZ",,,
,,,6,JP,,,
"""4005.2000""",4005.2000 -4005.10 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,2.1,KR,,,
,,,5.9,"AS , KR",,,
,,,6,JP,,,
,,,6.4,"AU R , NZ",,,
"""4005.9100""",4005.9100  8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"RCH,IS,KR,AU,MU, AS ,",,,
,,,,"RAU R , KR , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,5.1,JP,,,
"""4005.9900""",4005.9900  8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,2.1,KR,,,
,,,4.8,"AS , AU R , KR R , NZ",,,
,,,6,JP,,,
"""40.06,""","40.06,",,,,,,
""")""",),,,,,,
"""(,""","(,",,,,,,
"""4006.1000""",4006.1000 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RKR , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,5.1,JP,,,
"""4006.9010""",4006.9010 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,4.8,"KR ,EC",,,
,,,5.1,JP,,,
"""4006.9020""",4006.9020 - 14,14,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU ,RNZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,8.4,KR,,,
,,,8.9,JP,,,
,,,11.2,"PK,RS",,,
,,,12.1,NI,,,
,,,12.6,EC,,,
"""40.07""",40.07,40.07,,,,,
"""4007.0000""",4007.0000  14,14,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,8.4,KR,,,
,,,8.9,JP,,,
,,,11.2,"PK,RS",,,
,,,12.1,NI,,,
"""40.08""",40.08,40.08,,,,,
"""4008.1100""",4008.1100  8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,2.1,KR,,,
,,,5.9,"AS R , KR",,,
,,,6,JP,,,
,,,6.4,"AU R , NZ ,EC",,,
"""4008.1900""",4008.1900  8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,,"RS,MV,HK,MO",,,
,,,5.1,JP,,,
,,,6.4,NI,,,
,,,6.9,EC,,,
"""4008.2100""",4008.2100  8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,,"NI,RS,MV,HK,MO",,,
,,,4.8,"AS R , AU ,RKR , NZ ,",,,
,,,,EC,,,
,,,5.1,RJP,,,
"""4008.2900""",4008.2900  8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,,"NI,RS,MV,HK,MO",,,
,,,4.8,EC,,,
,,,5.1,JP,,,
"""40.09""",40.09,40.09,,,,,
""",(,""",",(,",,,,,,
"""4009.11""",4009.11,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.3,"AS , AU R , KR R , NZ",,,
,,,6.7,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""4009.12""",4009.12,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,40
,,,,"IS,KR, RAU,  GE,  MU, AS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""4009.21""",4009.21,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.3,"RAS , AU R , KR R , NZ",,,
,,,6.7,JP,,,
,,,8,"NI,EC",,,
"""4009.22""",4009.22,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,2,PK,,,
,,,6,"AS R , AU , KR R , NZ ,",,,
,,,,RS,,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""-""",-,,,,,,
"""4009.31""",4009.31,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,4.7,KR,,,
,,,6,RS,,,
,,,8,"NI,EC",,,
,,,8.4,"RAS ,RAU ,RNZ",,,
,,,8.5,RJP,,,
"""4009.3200""",4009.3200  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,40
,,,,"IS,KR,AU,GE,MU,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,"AS R , AU R , KR R , NZ",,,
,,,6.4,JP,,,
,,,8,"NI,RS",,,
,,,8.8,EC,,,
"""-""",-,,,,,,
"""4009.4100""",4009.4100  10,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.3,KR,,,
,,,6.7,RJP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""4009.4200""",4009.4200  10,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,RJP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""40.1""",40.1,40.1,,,,,
"""4010.1100""",4010.1100  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,35
,,,,"IS,KR,AU,GE, RMU, AS ,",,,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""4010.1200""",4010.1200  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,35
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""4010.1900""",4010.1900  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,35
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,KR,,,
,,,6.4,JP,,,
,,,8,"NI,RS",,,
,,,8.8,EC,,,
"""4010.3100""",4010.3100 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
"""V,60""","V,60",,,"CH,IS,KR,AU,GE,MU,KH,",,,
""",180""",",180",,,"NI,EC,RS,MV,HK,MO",,,
,,,4.8,"AS R , AU , KR R , NZ",,,
,,,5.1,JP,,,
"""4010.3200""",4010.3200 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
"""60,""","60,",,,"CH,IS,KR,AU,GE,MU,",,,
"""180,V""","180,V",,,"AS ,RAU ,RKR ,RNZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,5.1,JP,,,
"""4010.3300""",4010.3300 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
"""V,180""","V,180",,,"CH,IS,KR,AU,GE,MU,",,,
,", R240",,,"AS R , AU R , KR R , NZ ,KH,",,,
,,,,"NI,MV,HK,MO",,,
,,,4.8,EC,,,
,,,5.1,RJP,,,
,,,6.4,RS,,,
"""4010.3400""",4010.3400 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
"""180,""","180,",,,"CH,IS,KR,AU,GE,MU,",,,
"""R240""","R240 ,  V",,,"AS , AU R , KR R , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,5.1,JP,,,
"""4010.3500""","4010.3500 ,60 10",10,0,"AS,CL,NZ,SG,PE,",0,LD,35
""",150""",",150",,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""4010.3600""","4010.3600 ,150 10",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,35
,", R198",,,"IS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""4010.3900""",4010.3900  8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , KR ,RNZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,5.1,JP,,,
,,,5.2,AP,,,
"""40.11""",40.11,40.11,,,,,
