HS_Code,VAT_Rate
1008609000,9.0%
1008901000,9.0%
1008909000,9.0%
1101000001,9.0%
1101000090,9.0%
1102200001,9.0%
1102200090,9.0%
1102902101,9.0%
1102902190,9.0%
1102902901,9.0%
1102902990,9.0%
1102909000,9.0%
1103110001,9.0%
1103110090,9.0%
1103130001,9.0%
1103130090,9.0%
1103191000,9.0%
1103193101,9.0%
1103193190,9.0%
1103193901,9.0%
1103193990,9.0%
1103199000,9.0%
1103201001,9.0%
1103201090,9.0%
1103209000,9.0%
1104120000,13.0%
1104191000,13.0%
1104199010,13.0%
1104199090,13.0%
1104220000,13.0%
1104230001,9.0%
1104230090,9.0%
1104291000,9.0%
1104299000,9.0%
1104300000,9.0%
1105100000,13.0%
1105200000,13.0%
1106100000,13.0%
1106200000,13.0%
1106300000,13.0%
1107100000,13.0%
1107200000,13.0%
1108110000,13.0%
1108120000,13.0%
1108130000,13.0%
1108140000,13.0%
1108190000,13.0%
1108200000,13.0%
1109000000,13.0%
1201100000,9.0%
1201901000,9.0%
1201902000,9.0%
1201903000,9.0%
1201909000,9.0%
1202300000,9.0%
1202410000,9.0%
1202420000,9.0%
1203000000,9.0%
1204000000,9.0%
1205101000,9.0%
1205109000,9.0%
1205901000,9.0%
1205909000,9.0%
1206001000,9.0%
1206009000,9.0%
1207101010,9.0%
1207101090,9.0%
1207109010,9.0%
1207109090,9.0%
1207210000,9.0%
1207290000,9.0%
1207301000,9.0%
1207309000,9.0%
1207401000,9.0%
1207409000,9.0%
1207501000,9.0%
1207509000,9.0%
1207601000,9.0%
1207609000,9.0%
1207701000,9.0%
1207709100,9.0%
1207709200,9.0%
1207709900,9.0%
1207910000,9.0%
1207991000,9.0%
1207999100,9.0%
1207999900,9.0%
1208100000,13.0%
1208900000,13.0%
1209100000,9.0%
1209210000,9.0%
1209220000,9.0%
1209230000,9.0%
1209240000,9.0%
1209250000,9.0%
1209291000,9.0%
1209299000,9.0%
1209300010,9.0%
1209300090,9.0%
1209910000,9.0%
1209990010,9.0%
1209990090,9.0%
1210100000,13.0%
1210200000,13.0%
1211201000,9.0%
1211202010,9.0%
1211202090,9.0%
1211209110,9.0%
1211209190,9.0%
1211209910,9.0%
1211209990,9.0%
1211300010,9.0%
1211300020,9.0%
1211300090,9.0%
1211400010,9.0%
1211400020,9.0%
1211400090,9.0%
1211500011,9.0%
1211500019,9.0%
1211500021,9.0%
1211500029,9.0%
1211500091,9.0%
1211500099,9.0%
1211901100,9.0%
1211901200,9.0%
1211901300,9.0%
1211901400,9.0%
1211901500,9.0%
1211901600,9.0%
1211901700,9.0%
1211901800,9.0%
1211901900,9.0%
1211902100,9.0%
1211902200,9.0%
1211902300,9.0%
1211902400,9.0%
1211902500,9.0%
1211902600,9.0%
1211902700,9.0%
1211902800,9.0%
1211902900,9.0%
1211903100,9.0%
1211903200,9.0%
1211903300,9.0%
1211903400,9.0%
1211903500,9.0%
1211903600,9.0%
1211903700,9.0%
1211903810,9.0%
1211903890,9.0%
1211903930,9.0%
1211903940,9.0%
1211903950,9.0%
1211903960,9.0%
1211903970,9.0%
1211903981,9.0%
1211903989,9.0%
1211903991,9.0%
1211903992,9.0%
1211903993,9.0%
1211903999,9.0%
1211905030,9.0%
1211905091,9.0%
1211905099,9.0%
1211909100,9.0%
1211909991,9.0%
1211909999,9.0%
1212211000,9.0%
1212212000,9.0%
1212213100,9.0%
1212213200,9.0%
1212213900,9.0%
1212214100,9.0%
1212214200,9.0%
1212214900,9.0%
1212216100,9.0%
1212216900,9.0%
1212217100,9.0%
1212217900,9.0%
1212219000,9.0%
1212291000,9.0%
1212299000,9.0%
1212910000,9.0%
1212920000,9.0%
1212930000,9.0%
1212940000,9.0%
1212991100,9.0%
1212991200,9.0%
1212991900,9.0%
1212999300,9.0%
1212999400,9.0%
1212999600,9.0%
1212999910,9.0%
1212999990,9.0%
1213000000,9.0%
1214100000,0.0%
1214900001,0.0%
1214900002,0.0%
1214900090,0.0%
1301200000,9.0%
1301901000,9.0%
1301902000,9.0%
1301903000,9.0%
1301904010,9.0%
1301904090,9.0%
1301909010,9.0%
1301909020,9.0%
1301909091,9.0%
1301909099,9.0%
1302110000,0.0%
1302120000,13.0%
1302130000,13.0%
1302140011,13.0%
1302140012,13.0%
1302140019,13.0%
1302140020,13.0%
1302191000,13.0%
