HS_CODE,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),Unnamed: 5,General_Tariff_Rate
,,6,KR,,,
,,8,"AU R , NZ",,,
"""30000""",,,,,,
"""7219.2410""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"RAS R , JP ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO,TW",,,
,,2.6,KR,,,
,,5.6,AP,,,
,,6,KR,,,
,,8,"AU ,RNZ",,,
"""7219.2420""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
"""0001.0000""",,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"RAS , JP ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,4.5,KR,,,
,,5.6,AP,,,
,,7.3,KR,,,
,,8,"AU R , NZ",,,
"""7219.2430""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"RAS R , JP ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,2.6,KR,,,
,,5.6,AP,,,
,,6,KR,,,
,,8,"AU R , NZ",,,
"""7219.3100""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS , AU R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,6,RKR,,,
,,6.4,JP,,,
"""3,""",,,,,,
"""4.75""",,,,,,
"""7219.3210""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
"""1800.0000""",,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS , AU R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,6,RKR,,,
,,6.4,JP,,,
"""7219.3290""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS R , AU R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,6,KR,,,
,,6.4,JP,,,
"""1,3""",,,,,,
"""7219.3310""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS R , AU , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,6,KR,,,
,,6.4,JP,,,
"""7219.3390""",6,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,TW",,,
,,2,PK,,,
,,2.6,KR,,,
,,7.3,"AS R , KR",,,
,,7.5,JP,,,
,,8,"AU ,RNZ",,,
"""7219.3400""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
"""0001.0000""",,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO,",,,
,,,TW,,,
,,4.5,KR,,,
,,8,"AS , AU R , KR R , NZ",,,
,,8.1,JP,,,
"""7219.3500""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO,",,,
,,,TW,,,
,,4.5,KR,,,
,,8,"RAS R , AU , NZ",,,
"""7219.9000""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,RAS , AU R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,6,KR,,,
,,6.4,JP,,,
"""72.20""",,,,,,
"""7220.1100""",6,0,"AS,CL,PK,NZ,SG,",0,LD,20
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,8,"AS R , AU ,RNZ",,,
"""7220.1200""",6,0,"AS,CL,PK,NZ,SG,",0,LD,20
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS R , AU R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,6,KR,,,
,,6.4,JP,,,
"""7220.2020""",6,0,"AS,CL,PK,NZ,SG,",0,LD,20
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,2.6,KR,,,
,,7.3,"AS R , KR",,,
,,7.5,RJP,,,
,,8,"RAU ,RNZ",,,
"""7220.2030""",6,0,"AS,CL,PK,NZ,SG,",0,LD,20
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,2.6,KR,,,
,,7.3,"RAS , KR",,,
,,7.5,JP,,,
,,8,"AU ,RNZ",,,
"""7220.2040""",6,0,"AS,CL,PK,NZ,SG,",0,LD,20
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,6,AS,,,
,,6.4,JP,,,
,,8,"RAU ,RNZ",,,
"""7220.9000""",6,0,"AS,CL,PK,NZ,SG,",0,LD,20
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,KH,NI,EC,RS,MV,HK,",,,
,,,"MO,TW",,,
,,6,"AS , AU R , KR R , NZ",,,
,,6.4,JP,,,
"""72.21""",,,,,,
"""7221.0000""",6,0,"AS,CL,NZ,SG,PE,",0,LD,20
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,4.8,AP,,,
,,6,AS,,,
,,6.4,JP,,,
,,8,"KR, AU R , KR R , NZ",,,
"""72.22""",,,,,,
,,,,,,
"""7222.1100""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,5.4,AP,,,
,,8,"RAS R , AU ,RNZ",,,
,,9,KR,,,
"""7222.1900""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,5,"AS R , AU ,RNZ",,,
,,5.4,AP,,,
,,9,KR,,,
"""7222.2000""",6,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,8,"AS R , AU R , NZ",,,
"""7222.3000""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,5.3,AP,,,
,,8,"AS , AU R , NZ",,,
,,9,KR,,,
"""7222.4000""",6,0,"AS,CL,PK,NZ,SG,",0,LD,17
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,8,"RAS , AU ,RNZ",,,
"""72.23""",,,,,,
"""7223.0000""",6,0,"AS,CL,NZ,SG,PE,",0,LD,20
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6,AS,,,
,,6.4,JP,,,
,,8,"AU R , NZ",,,
"""72.24""",,,,,,
"""7224.1000""",2?0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7224.9010""",2?0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , JP R , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,1.2,"AU R , NZ",,,
"""7224.9090""",2?0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,1.6,JP,,,
"""72.25""",,,,,,
"""7225.1100""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2.1,"AP,KR",,,
,,2.4,"AS R , AU R , NZ",,,
"""7225.1900""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,5,"AS R , AU R , NZ",,,
,,,,,,
"""7225.3010""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2.4,"AS ,RAU ,RNZ",,,
"""7225.3090""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2.4,"AS R , AU ,RNZ",,,
,,,,,,
"""7225.4010""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , JP R , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,1.8,"AU ,RNZ",,,
"""7225.4091""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , JP R , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,1.8,"AU ,RNZ",,,
"""7225.4099""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , JP , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,1.8,"AU R , NZ",,,
"""7225.5000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2.7,"AS R , AU R , NZ",,,
"""7225.9100""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,"RS,MV,HK,MO",,,
,,4.2,"KR ,EC",,,
,,4.5,JP,,,
"""7225.9200""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,4.2,"AS R , AU R , KR R , NZ",,,
,,5.3,JP,,,
"""7225.9910""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RJP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7225.9990""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.2,KR,,,
,,4.5,JP,,,
"""72.26""",,,,,,
"""25""",,,,,,
"""7226.1100""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2.7,"AS R , AU , NZ",,,
"""7226.1900""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2.7,"AS R , AU R , NZ",,,
"""7226.2000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,RKR,,,
,,1.9,JP,,,
"""7226.9110""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,1.9,JP,,,
"""7226.9191""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,1.9,JP,,,
"""7226.9199""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,1.9,JP,,,
"""7226.9200""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,0.8,KR,,,
,,1.8,"AS R , AU R , KR ,RNZ",,,
,,2.3,RJP,,,
"""7226.9910""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"RS,MV,HK,MO",,,
,,4.2,"KR ,EC",,,
,,4.5,JP,,,
"""7226.9920""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,"RS,MV,HK,MO",,,
,,4.2,"KR ,EC",,,
,,4.5,JP,,,
"""7226.9990""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,4.2,"AS R , AU R , KR R , NZ",,,
,,4.5,JP,,,
"""600""",,,,,,
"""72.27""",,,,,,
"""7227.1000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7227.2000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.6,KR,,,
,,3.6,"AS ,RAU R , KR R , NZ",,,
,,4.5,JP,,,
"""7227.9010""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , JP , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,1.8,"AU R , NZ",,,
"""7227.9091""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , JP R , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,1.8,"RAU ,RNZ",,,
"""7227.9099""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , JP R , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,1.8,"RAU , NZ",,,
"""72.28""",,,,,,
"""7228.1000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,1.9,JP,,,
"""7228.2000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
,,,,,,
"""7228.3010""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2.4,"AS R , AU , NZ",,,
"""7228.3091""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2.4,"AS R , AU R , JP , KR ,",,,
,,,RNZ,,,
"""7228.3099""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2.4,"AS R , AU R , JP R , KR ,",,,
,,,RNZ,,,
"""7228.4000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,1.8,"AS R , AU R , KR ,RNZ",,,
,,2.3,JP,,,
"""7228.5000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,1.8,"AS R , AU R , KR R , NZ",,,
,,1.9,JP,,,
"""7228.6000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,1.9,JP,,,
,,,,,,
"""7228.7010""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7228.7090""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,3.6,"RAS R , AU R , KR , NZ",,,
,,4.5,JP,,,
"""7228.8000""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU R , KR ,RNZ ,KH,",,,
,,,"NI,RS,MV,HK,MO",,,
,,4.2,EC,,,
,,4.5,JP,,,
"""72.29""",,,,,,
"""7229.2000""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,4.2,"RAS ,RAU R , KR ,RNZ",,,
,,5.3,JP,,,
"""7229.9010""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,1.9,RJP,,,
"""7229.9090""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,5.6,"RAS , AU ,RNZ",,,
"""73.01""",,,,,,
"""7301.1000""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,RS,MV,HK,MO",,,
,,4.2,"AS R , AU R , KR , NZ ,",,,
,,,EC,,,
,,4.5,JP,,,
,,6.3,AP,,,
"""7301.2000""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,RS,MV,HK,MO",,,
,,4.2,"AS R , AU R , KR , NZ ,",,,
,,,EC,,,
,,4.5,JP,,,
"""73.02""",,,,,,
"""7302.1000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
"""7302.3000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , KR , NZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
,,7.1,EC,,,
"""7302.4000""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.2,KR,,,
,,4.5,JP,,,
"""7302.9010""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,5.1,AP,,,
"""7302.9090""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , KR R , NZ ,KH,",,,
,,,"NI,RS,MV,HK,MO",,,
,,4.2,EC,,,
,,4.5,JP,,,
,,6,AP,,,
"""73.03""",,,,,,
"""7303.0010""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7303.0090""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""73.04""",,,,,,
"""7304.1110""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
"""0406.4000""",,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,KR,,,
,,3.2,JP,,,
"""7304.1120""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
"""0215.9000""",215.9,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,KR,,,
,,3.2,JP,,,
"""7304.1130""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,KR,,,
,,3.2,JP,,,
"""7304.1190""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7304.1910""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
"""0406.4000""",,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,KR,,,
,,3.2,JP,,,
"""7304.1920""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
"""0215.9000""",215.9,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,KR,,,
,,3.2,JP,,,
"""7304.1930""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,KR,,,
,,3.2,JP,,,
"""7304.1990""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,,,,,
"""7304.2210""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7304.2290""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7304.2310""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7304.2390""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7304.2400""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,AP,,,
,,3.2,JP,,,
"""7304.2910""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RJP , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,2,AP,,,
,,2.4,"AU , NZ",,,
"""7304.2920""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RJP , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,2,AP,,,
,,2.4,"AU , NZ",,,
"""7304.2930""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , JP , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,2,AP,,,
,,2.4,"AU R , NZ",,,
,,,,,,
"""7304.3110""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7304.3120""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RKR ,RNZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
,,7.1,EC,,,
"""7304.3190""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,3.2,JP,,,
"""7304.3910""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7304.3920""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
