Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
0813.20.00,00A,kg,Prunes,Free,Free
0813.30.00,00E,kg,–Apples,Free,Free
0813.40.00,,,Other fruit,Free,Free
,01G,kg,Peaches,,
,09B,kg,Other,,
0813.50.00,00B,kg,Mixtures of nuts or dried fruits of this Chapter,Free,Free
8.14,,,"Peel of citrus fruit or melons (including watermelons), fresh, frozen,",,
,,,"dried or provisionally preserved in brine, in sulphur water or in other",,
,,,preservative solutions:,,
0814.00.01,00J,kg,Lemon peel,5,Free
,,,,,*See Below
0814.00.09,00K,kg,Other,Free,Free
9.01,,,"Coffee, whether or not roasted or decaffeinated; coffee husks and",,
,,,skins; coffee substitutes containing coffee in any proportion:,,
,,,"Coffee, not roasted:",,
0901.11.00,00E,kg,Not decaffeinated,Free,Free
0901.12.00,00K,kg,Decaffeinated,Free,Free
,,,"Coffee, roasted:",,
0901.21.00,00J,kg,Not decaffeinated,5,Free
,,,,,*See Below
,,,,,CA Free
0901.22.00,00C,kg,Decaffeinated,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
901.9,,,Other:,,
0901.90.10,00E,kg,Coffee husks and skins,Free,Free
0901.90.90,00J,kg,Coffee substitutes containing coffee,5,Free
,,,,,*See Below
,,,,,CA Free
9.02,,,"Tea, whether or not flavoured:",,
0902.10.00,,,Green tea (not fermented) in immediate packings of a content not,,
,,,exceeding 3 kg,Free,Free
,01G,kg,In packages of 2 kg net weight or more,,
,09B,kg,Other,,
0902.20.00,00B,kg,Other green tea (not fermented),Free,Free
0902.30.00,,,"Black tea (fermented) and partly fermented tea, in immediate packings",,
,,,of a content not exceeding 3 kg,Free,Free
,01D,kg,In packages of 2 kg net weight or more,,
,09K,kg,Other,,
0902.40.00,00K,kg,Other black tea (fermented) and other partly fermented tea,Free,Free
9.03,,,,,
0903.00.00,00C,kg,Maté,Free,Free
9.04,,,Pepper of the genus Piper; dried or crushed or ground fruits of the,,
,,,genus Capsicum or of the genus Pimenta:,,
,,,Pepper:,,
0904.11.00,00K,kg,Neither crushed nor ground,Free,Free
0904.12.00,00D,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 5
,,,,,1/2025 5
,,,Fruits of the genus Capsicum or of the genus Pimenta:,,
0904.21.00,00C,kg,"Dried, neither crushed nor ground",Free,Free
0904.22.00,00H,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 5
,,,,,1/2025 5
9.05,,,Vanilla,,
0905.10.00,00C,kg,Neither crushed nor ground,Free,Free
0905.20.00,00G,kg,Crushed or ground,Free,Free
9.06,,,Cinnamon and cinnamon-tree flowers:,,
,,,Neither crushed nor ground:,,
0906.11.00,00F,kg,Cinnamon (Cinnamomum zeylanicum Blume),Free,Free
0906.19.00,00B,kg,Other,Free,Free
0906.20.00,00E,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
9.07,,,"Cloves (whole fruit, cloves and stems):",,
0907.10.00,00K,kg,Neither crushed nor ground,Free,Free
0907.20.00,00C,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
9.08,,,"Nutmeg, mace and cardamoms:",,
,,,Nutmeg:,,
0908.11.00,00B,kg,Neither crushed nor ground,Free,Free
0908.12.00,00G,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Mace:,,
0908.21.00,00F,kg,Neither crushed nor ground,Free,Free
0908.22.00,00L,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,Cardamoms:,,
0908.31.00,00K,kg,Neither crushed nor ground,Free,Free
0908.32.00,00D,kg,Crushed or ground,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
