Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,,,,,LDC 4
,,,,,RCEP 4
,,,,,1/2025 3.7
,,,,,
,10C,.,Merbau (Kwila),,
,15D,.,Ramin,,
,19G,.,Other,,
4409.22.19,,,Other,Free,Free
,,,"Square dressed, structural:",,
,10J,m3,Merbau (Kwila),,
,11G,m3,Ramin,,
,13C,m3,Other,,
,,,Other:,,
,15K,m3,Merbau (Kwila),,
,17F,m3,Ramin,,
,19B,m3,Other,,
4409.29,,,Other:,,
4409.29.10,00F,.,Drawn wood,Free,Free
4409.29.19,00C,.,Moulded wood,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,LDC 4
,,,,,RCEP 4
,,,,,1/2025 3.7
4409.29.29,,,Other,Free,Free
,,,"Square dressed, structural:",,
,11D,m3,Beech,,
,15G,m3,Other,,
,,,Other:,,
,19K,m3,Beech,,
,49A,m3,Other,,
44.1,,,"Particle board, oriented strand board (OSB) and similar board (for",,
,,,"example, waferboard) of wood or other ligneous materials, whether or",,
,,,not agglomerated with resins or other organic binding substances:,,
,,,Of wood:,,
4410.11.00,,,Particle board,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 4
,,,,,1/2025 3.7
,10A,m3,Unworked or not further worked than sanded,,
,15B,m3,Surface-covered with melamine-impreganted paper,,
,19E,m3,Surface-covered with decorative laminates of plastics,,
,29B,m3,Other,,
4410.12.00,,,Oriented strand board (OSB),5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 4
,,,,,1/2025 3.7
,10F,m3,Unworked or not further worked than sanded,,
,19K,m3,Other,,
4410.19.00,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,10H,m3,Unworked or not further worked than sanded,,
,15J,m3,Surface-covered with melamine-impreganted paper,,
,19A,m3,Surface-covered with decorative laminates of plastics,,
,29J,m3,Other,,
4410.90.20,00K,m3,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 4
,,,,,1/2025 3.7
44.11,,,"Fibreboard of wood or other ligneous materials, whether or not",,
,,,bonded with resins or other organic substances:,,
